"","year","plan_name","state","return_1yr","ava_return","actuarial_cost_method_in_gasb_reporting","funded_ratio","ava","mva","mva_smooth","aal","tpl","adec","adec_paid_pct","statutory","statutory_pct","amortizaton_method","total_benefit_payments","benefit_payments","refunds","admin_exp","cost_structure","asset_valuation_method_for_gasb_reporting","payroll","ee_contribution","ee_nc_pct","er_contribution","er_nc_pct","er_state_contribution","er_proj_adec_pct","other_contribution","other_additions","fy_contribution","inflation_assum","arr","dr","number_of_years_remaining_on_amortization_schedule","payroll_growth_assumption","total_amortization_payment_pct","total_contribution","total_nc_pct","total_nc_dollar","total_number_of_members","total_proj_adec_pct","type_of_employees_covered","unfunded_actuarially_accrued_liabilities_dollar","wage_inflation"
"1169",2003,"Missouri Public School Retirement System","Missouri","0.048","0.0398","Entry Age Normal","0.811","20047982000","20047981537",NA,"24719450000",NA,"355979027","0.945",NA,NA,"Level Percent Open","-930449630","930449630","-28474287","-4674174",NA,"5-year smoothed market value.","3373058000","378434127","0.1","355979030",NA,"355979000","0.1775","0",NA,2005,NA,"0.08","0.08","30.0","0.05","0.0683","734413130","0.2092","693677940",NA,NA,"Plan covers teachers","4671468000","0.05"
"1170",2004,"Missouri Public School Retirement System","Missouri","0.1208","0.0882","Entry Age Normal","0.82","21501572000","22150379905",NA,"26225259000",NA,"359762556","0.757",NA,NA,"Level Percent Open","-1024739900","1024739900","-36018258","-5265259",NA,"5-year smoothed market value.","3408230000","405614103","0.11","359762560",NA,"2707000","0.1676","0",NA,2006,NA,"0.08","0.08","30.0","0.05","0.0683","765376690","0.2093","700046750",NA,NA,"Plan covers teachers","4723687000","0.05"
"1171",2005,"Missouri Public School Retirement System","Missouri","0.0892","0.09","Entry Age Normal","0.827","23049440000","23738856296",NA,"27881513000",NA,"593328374","0.6563245819084998",NA,NA,"Level Percent Open","-1152577600","1152577600","-34346273","-5566428",NA,"5-year smoothed market value.","3540649000","432500249","0.12","389416000",NA,"2930000","0.1578","0",NA,2007,NA,"0.08","0.08","30.0","0.05","0.0673","821916250","0.2105","731821380",NA,NA,"Plan covers teachers","4832072000","0.05"
"1172",2006,"Missouri Public School Retirement System","Missouri","0.0949","0.0929","Entry Age Normal","0.826","24801644000","25603528651",NA,"30037130000",NA,"608134319","0.7063882066488012",NA,NA,"Level Percent Open","-1260838500","1260838500","-36394063","-6750205",NA,"5-year smoothed market value.","3775752000","502980175","0.12","429578910",NA,"3232000","0.1639","0",NA,2008,NA,"0.08","0.08","30.0","0.05","0.0684","932559060","0.2155","799550440",NA,NA,"Plan covers teachers","5235486000","0.05"
"1173",2007,"Missouri Public School Retirement System","Missouri","0.1625","0.1096","Entry Age Normal","0.835","27049004000","29283666821",NA,"32396722000",NA,"644969214","0.732153752070405",NA,NA,"Level Percent Open","-1380563000","1380563000","-44010289","-7111060",NA,"5-year smoothed market value.","3980698000","514163373","0.12","472216630",NA,"3553000","0.1624","0",NA,2009,NA,"0.08","0.08","30.0","0.05","0.0664","986380000","0.216","844578060",NA,NA,"Plan covers teachers","5347718000","0.05"
"1174",2008,"Missouri Public School Retirement System","Missouri","-0.0477","0.0808","Entry Age Normal","0.834","28751240000","27435038622",NA,"34490452000",NA,"656347298","0.7941550191313502",NA,NA,"Level Percent Open","-1502974400","1502974400","-46300941","-8041951",NA,"5-year smoothed market value.","4209417000","572810350","0.13","521241500",NA,"2662000","0.1545","0",NA,2010,NA,"0.08","0.08","30.0","0.05","0.0674","1094051900","0.2171","901180190",NA,NA,"Plan covers teachers","5739211000","0.05"
"1175",2009,"Missouri Public School Retirement System","Missouri","-0.1955","0.0214","Entry Age Normal","0.799","28826076000","21589177403",NA,"36060121000",NA,"669643988","0.8414239463014488",NA,NA,"Level Percent Open","-1651607600","1651607600","-46408254","-10121964",NA,"5-year smoothed market value.","4439381000","599582276","0.13","563454500",NA,"3104000","0.1711","0",NA,2011,NA,"0.08","0.08","30.0","0.05","0.0827","1163036800","0.2184","969541440",NA,NA,"Plan covers teachers","7234046000","0.05"
"1176",2010,"Missouri Public School Retirement System","Missouri","0.128","0.023","Entry Age Normal","0.777","28931332000","23755741470",NA,"37233602000",NA,"737381187","0.8059957759676339",NA,NA,"Level Percent Open","-1729704000","1729704000","-48159590","-10026129",NA,"5-year smoothed market value.","4493865000","636632688","0.14","594326130",NA,"3972000","0.1734","0",NA,2012,NA,"0.08","0.08","30.0","0.05","0.0937","1230958800","0.2197","987255060",NA,NA,"Plan covers teachers","8302271000","0.05"
"1177",2011,"Missouri Public School Retirement System","Missouri","0.218","0.04","Entry Age Normal","0.855","29387486000","28100181498",NA,"34383430000",NA,"684366766","0.869025450309491",NA,NA,"Level Percent Closed","-1845619900","1845619900","-53638648","-8835641",NA,"5-year smoothed market value.","4338976000","638356963","0.145","594732130",NA,"3458000","0.116","0",NA,2013,NA,"0.08","0.08","30.0","0.035","0.0694","1233089100","0.1916","831201060",NA,NA,"Plan covers teachers","4995944000",NA
"1178",2012,"Missouri Public School Retirement System","Missouri","0.016","0.012","Entry Age Normal","0.815","29013002000","27816772561","27816772561","35588030000",NA,"670259103","0.9253350356958897",NA,NA,"Level Percent Closed","-1950231300","1950231300","-54456051","-8133833",NA,"5-year smoothed market value.","4379060000","658935738","0.145","620214250",NA,"3458000","0.137","0",NA,2014,NA,"0.08","0.08","30.0","0.035","0.0917","1279150000","0.1903","833145690",NA,NA,"Plan covers teachers","6575028000",NA
"1179",2013,"Missouri Public School Retirement System","Missouri","0.123","0.044","Entry Age Normal","0.801","29443148000","30375416793","30375416792","36758165000",NA,"507232268","1.25",NA,NA,"Level Percent Closed","-2055763900","2055763900","-55394344","-8712315",NA,"5-year smoothed market value.","4460872000","665925539","0.145","634040310",NA,"0","0.1471",NA,NA,2015,NA,"0.08","0.08","30.0","0.035","0.1016","1299965900","0.1905","849712130",NA,NA,"Plan covers teachers","7315018000",NA
"1180",2014,"Missouri Public School Retirement System","Missouri","0.167","0.114","Entry Age Normal","0.828","31846600000","34380608560","34380608561","38483183932","38483183932","608459380","1.05839",NA,NA,"Level Percent Closed","-2180547000","2132714300","-55921469","-8902611",NA,"5-year smoothed market value.","4425567630","679390918","0.145","643989880",NA,"0","0.1392",NA,NA,2016,NA,"0.08","0.08","30.0","0.035","0.0953","1323380800","0.1889",NA,NA,NA,"Plan covers teachers","6636584545",NA
"1181",2015,"Missouri Public School Retirement System","Missouri","0.043","0.102","Entry Age Normal","0.839","34073416000","34837679505","34837679504","40610539616","40610539616","666439000","0.98572",NA,NA,"Level Percent Closed","-2270258800","2263957000","-55937945","-10011961",NA,"5-year smoothed market value.","4508241581","689187215","0.145","656924880",NA,"0","0.1361",NA,NA,2017,NA,"0.08","0.08","30.0","0.035","0.0942","1346112100","0.1869",NA,NA,NA,"Plan covers teachers","6537124386",NA
"1182",2016,"Missouri Public School Retirement System","Missouri","0.018","0.072","Entry Age Normal","0.848","35419280000","34303969832","34303969835","41744618662","41744618662","643155560","1.04167",NA,NA,"Level Percent Closed","-2376276300","2359690500","-54630398","-11547623",NA,"5-year smoothed market value.","4556137282","704785734","0.145","670794060",NA,"0","0.1109",NA,NA,2018,NA,"0.0775","0.0775","30.0","0.0275","0.0934","1375579800","0.1625",NA,NA,NA,"Plan covers teachers","6325341383",NA
"1183",2017,"Missouri Public School Retirement System","Missouri","0.123","0.088","Entry Age Normal","0.84","37373740000","37280246063","37280246064","44501771291","44501771291","642821630","1.06539",NA,NA,"Level Percent Closed","-2471214500","2446466000","-50617934","-10496287",NA,"5-year smoothed market value.","4655169121","719625373","0.145","684857690",NA,NA,"0.1279",NA,NA,2019,NA,"0.076","0.076","30.0","0.0275","0.1027","1404483100","0.1702",NA,NA,NA,"Plan covers teachers","7128031672",NA
"1184",2018,"Missouri Public School Retirement System","Missouri","0.089",NA,"Entry Age Normal","0.84","39211452000","39259545408","39259545400","46702002000","46702001873","533062190","1.30748",NA,NA,"Level Percent Closed","-2555656000","2524322500","-51329094","-11019274",NA,"5-year smoothed market value.","4759665000","726996161","0.145","696970380",NA,"0","0.1359",NA,NA,2020,NA,"0.075","0.075","30.0","0.0275","0.1065","1423996500","0.1744",NA,NA,NA,"Plan covers teachers","7409550000",NA
"1185",2019,"Missouri Public School Retirement System","Missouri","0.07",NA,"Entry Age Normal","0.844","40498480000","40593758865","40594758865","47973829000","47973829236","628513940","1.1337",NA,NA,"Level Percent Closed","-2660977500","2643189800","-49295934","-11282371",NA,"5-year smoothed market value.","4844249000","747402726","0.145","712545130",NA,NA,"0.1366",NA,NA,2021,NA,"0.075","0.075","30.0","0.0275","0.1071","1459947900","0.1745",NA,NA,NA,"Plan covers teachers","7475350000",NA
"1186",2020,"Missouri Public School Retirement System","Missouri","0.039",NA,"Entry Age Normal","0.84","41705060000","40710304167",NA,"49641020000","49641020407","679495750","1.06696",NA,NA,"Level Percent Closed","-2758725800","2734868000","-54506316","-10653233",NA,"5-year smoothed market value.","4919286000","757916937","0.145","724995500",NA,NA,"0.1436",NA,NA,2021,NA,"0.075","0.075","30.0",NA,"0.1139","1482912400","0.1747",NA,NA,NA,"Plan covers teachers","7935961000",NA
"1187",2001,"Mosers State Employees Pension Plan","Missouri","-0.0201","0.1285","Entry Age Normal","0.97","5881233000","5432961296",NA,"6065166716",NA,"215750128","1","215750128",NA,"Level Percent Closed","-216728590","227392670","0","-5749965",NA,"5-year smoothed market","1758190269","1918572","0.0",NA,NA,"239467000","0.0881","167640",NA,2002,NA,"0.085","0.085","34.0","0.04","0.0059","217836340","0.0822",NA,NA,NA,"Plan covers state employees","183933866","0.04"
"1188",2002,"Mosers State Employees Pension Plan","Missouri","-0.0642","0.0364","Entry Age Normal","0.959","6033133500","5024517229",NA,"6294272275",NA,"209515026","1","209525026",NA,"Level Percent Closed","-248854530","256593390","0","-5753812",NA,"5-year smoothed market","1773283484","3913426","0.0",NA,NA,"232725000","0.0935","48840",NA,2003,NA,"0.085","0.085","33.0","0.04","0.0088","213477300","0.0847",NA,NA,NA,"Plan covers state employees","261138677","0.04"
"1189",2003,"Mosers State Employees Pension Plan","Missouri","0.0676","0.0322","Entry Age Normal","0.909","6057329000","5190418601",NA,"6662291406",NA,"156576150","1","156576150",NA,"Level Percent Closed","-279075840","287084130","0","-5954365",NA,"5-year smoothed market","1739895354","3690820","0.0",NA,NA,"178382000","0.1064","53119",NA,2004,NA,"0.085","0.085","32.0","0.04","0.0207","160320090","0.0857",NA,NA,NA,"Plan covers state employees","604962334","0.04"
"1190",2004,"Mosers State Employees Pension Plan","Missouri","0.1722","0.0447","Entry Age Normal","0.846","6118214500","5859486975",NA,"7230010928",NA,"164691836","1","164691836",NA,"Level Percent Closed","-317554340","324627060","-8585","-5694082",NA,"5-year smoothed market","1737454454","3426367","0.0",NA,NA,"186441000","0.1259","166510",NA,2005,NA,"0.085","0.085","31.0","0.04","0.0378","168284720","0.0881",NA,NA,NA,"Plan covers state employees","1111796433","0.04"
"1191",2005,"Mosers State Employees Pension Plan","Missouri","0.1264","0.0787","Entry Age Normal","0.849","6435344000","6431033445",NA,"7578028017",NA,"194524059","1","194524059",NA,"Level Percent Closed","-339300660","348091340","0","-6228609",NA,"5-year smoothed market","1806600560","4122001","0.0",NA,NA,"217531000","0.1278","29397",NA,2006,NA,"0.085","0.085","30.0","0.04","0.0394","198675450","0.0884",NA,NA,NA,"Plan covers state employees","1142683915","0.04"
"1192",2006,"Mosers State Employees Pension Plan","Missouri","0.115","0.091","Entry Age Normal","0.853","6836567000","6983737684",NA,"8013205414",NA,"226338183","1","227233195",NA,"Level Percent Open","-400169560","373589160","-1341","-6486597",NA,"5-year smoothed market","1777277138","3072315","0.0",NA,NA,"227233000","0.1284","161613",NA,2007,NA,"0.085","0.085","30.0","0.0","0.0397","230467130","0.0887",NA,NA,NA,"Plan covers state employees","1176638226","0.04"
"1193",2007,"Mosers State Employees Pension Plan","Missouri","0.1858","0.1117","Entry Age Normal","0.868","7377289500","8056993537",NA,"8500428641",NA,"239488751","1","239488751",NA,"Level Percent Open","-447240780","406438190","0","-6689710",NA,"5-year smoothed market","1846643330","3460923","0.0",NA,NA,"263407000","0.1253","172936",NA,2008,NA,"0.085","0.085","30.0","0.04","0.0365","243122610","0.0888",NA,NA,NA,"Plan covers state employees","1123139358","0.04"
"1194",2008,"Mosers State Employees Pension Plan","Missouri","0.014","0.0958","Entry Age Normal","0.859","7838496000","7934030312",NA,"9128347470",NA,"249770156","1","249770156",NA,"Level Percent Open","-479853910","434641690","0","-6950878",NA,"5-year smoothed market","1916527398","3085133","0.0",NA,NA,"275985000","0.1275","38069",NA,2009,NA,"0.085","0.085","30.0","0.04","0.0404","252893360","0.0871",NA,NA,NA,"Plan covers state employees","1289851702","0.04"
"1195",2009,"Mosers State Employees Pension Plan","Missouri","-0.1932","0.039","Entry Age Normal","0.83","7876079500","6163086701",NA,"9494806715",NA,"252105008","1","252105008",NA,"Level Percent Open","-511466560","465358310","0","-7088483",NA,"5-year smoothed market","2002402087","3235999","0.0",NA,NA,"252105000","0.1381","28075",NA,2011,NA,"0.085","0.085","30.0","0.04","0.0504","255369080","0.0877",NA,NA,NA,"Plan covers state employees","1618727373","0.04"
"1196",2010,"Mosers State Employees Pension Plan","Missouri","0.1431","0.0444","Entry Age Normal","0.804","7923377500","6727623355",NA,"9853155445",NA,"251226187","1","251226187",NA,"Level Percent Open","-543284310","493652220","-3106","-7064544",NA,"5-year smoothed market","1945095321","3576954","0.0044",NA,NA,"251226000","0.1397","10009",NA,2012,NA,"0.085","0.085","30.0","0.04","0.0605","254813160","0.0836",NA,NA,NA,"Plan covers state employees","1929778052","0.04"
"1197",2011,"Mosers State Employees Pension Plan","Missouri","0.2132","0.0587","Entry Age Normal","0.792","8022481500","7768709373",NA,"10123544043",NA,"263418048","1","263418048",NA,"Level Percent Open","-597424940","525567380","0","-7054581",NA,"5-year smoothed market","1875569816","3414312","0.0054",NA,NA,"263418000","0.1445","142248",NA,2013,NA,"0.085","0.085","30.0","0.04","0.0665","266974590","0.0834",NA,NA,NA,"Plan covers state employees","2101062635","0.04"
"1198",2012,"Mosers State Employees Pension Plan","Missouri","0.0209","0.028","Entry Age Normal","0.732","7897167000","7581882309",NA,"10793651577",NA,"263373924","1","263373924",NA,"Level Percent Open","-611522440","558611000","-123709","-7017057",NA,"5-year smoothed market","1864069493","7824484","0.0066",NA,NA,"263374000","0.1698","2675339",NA,2014,NA,"0.08","0.08","30.0","0.04","0.096","273873750","0.0804",NA,NA,NA,"Plan covers state employees","2896484374","0.03"
"1199",2013,"Mosers State Employees Pension Plan","Missouri","0.1052","0.0733","Entry Age Normal","0.727","8096437000","7993837570","7993837570","11134637484",NA,"274655284","1","274655284",NA,"Level Percent Closed","-646708310","589871000","-622341","-7575883",NA,"3-year smoothed market","1880212950","13174006","0.0115",NA,NA,"274655000","0.1697","2446627",NA,2015,NA,"0.08","0.08","30.0","0.03","0.0981","290275910","0.0831",NA,NA,NA,"Plan covers state employees","3038200555","0.03"
"1200",2014,"Mosers State Employees Pension Plan","Missouri","0.1899","0.1115","Entry Age Normal","0.751","8637759000","9136781826","9136781826","11494571835","11494571835","326370340","1.0","326370336",NA,"Level Percent Closed","-677097440","618730500","-1421856","-7336922",NA,"3-year smoothed market","1903000000","16934751","0.0132",NA,NA,"328623000","0.1595","2252206",NA,2016,NA,"0.08","0.08","30.0","0.03","0.0906","345557280","0.0821",NA,NA,NA,"Plan covers state employees","2856812880","0.03"
"1201",2015,"Mosers State Employees Pension Plan","Missouri","0.0265","0.0637","Entry Age Normal","0.75","8792486000","8516654912","8516654912","11727618410","11727618410","329752840","1.0","329752832",NA,"Level Percent Closed","-723994060","650866000","-2479264","-8077692",NA,"3-year smoothed market","1919000000","19958460","0.0151",NA,NA,"333329000","0.1634","3575815",NA,2017,NA,"0.08","0.08","29.0","0.03","0.0967","353287090","0.0818",NA,NA,NA,"Plan covers state employees","2935132752","0.03"
"1202",2016,"Mosers State Employees Pension Plan","Missouri","0.0002","0.0576","Entry Age Normal","0.696","8878057000","8109161214","8109161214","12751162753","12751162753","329957380","1.0","329957369",NA,"Level Percent Closed","-750440440","680815000","-3798199","-8489375",NA,"5-year smoothed market","1922000000","24500669","0.0141",NA,NA,"332065000","0.1945","2107873",NA,2018,NA,"0.0765","0.0765","28.0","0.03","0.1226","356565910","0.086",NA,NA,NA,"Plan covers state employees","3873105562","0.03"
"1203",2017,"Mosers State Employees Pension Plan","Missouri","0.0345","0.0497","Entry Age Normal","0.675","8872382000","7945358298","7945358298","13152000000","13152273895","322772690","1.03856","335217422",NA,"Level Percent Closed","-787300310","710200000","-4820737","-8759341",NA,"Open 5-year smoothed +25/-20% market corridor","1942000000","27130389","0.0134","335217440",NA,NA,"0.2021","3977803",NA,2019,NA,"0.075","0.075","27.0","0.03","0.1316","366325630","0.0839",NA,NA,NA,"Plan covers state employees","4280000000","0.03"
"1204",2018,"Mosers State Employees Pension Plan","Missouri","0.0748","0.0516","Entry Age Normal","0.649","8830410000","8034508424","8034508424","13613000000","13612763961","379557970","1.0","379557962",NA,"Level Percent Closed","-818107500","744900000","-5502698","-10024178",NA,"Open 5-year smoothed +25/-20% market corridor","1915000000","30324713","0.015","379557970",NA,"382855213000","0.2177","3297251",NA,2020,NA,"0.0725","0.0725","30.0","0.025","0.1465","413179940","0.0862",NA,NA,NA,"Plan covers state employees","4782000000",NA
"1205",2019,"Mosers State Employees Pension Plan","Missouri","0.043","0.045","Entry Age Normal","0.629","8782384000","7916465279","7916465279","13958000000","13957626309","394150030","1.0","394150042",NA,"Level Percent Closed","-842813940","779900000","-6006484","-9200826",NA,"Open 5-year smoothed +25/-20% market corridor","1931000000","32580406","0.0166","394150030",NA,NA,"0.2288","2592737",NA,2021,NA,"0.071","0.071","29.0","0.0235","0.1593","429323190","0.0861",NA,NA,NA,"Plan covers state employees","5175000000",NA
"1206",2020,"Mosers State Employees Pension Plan","Missouri","0.052","0.039","Entry Age Normal","0.611","8711224000","7910830533",NA,"14258000000","14258408888","436895660","1.0","436895653",NA,"Level Percent Closed","-864807560","810500000","-5224489","-8398164",NA,"Open 5-year smoothed +25/-20% market corridor","1981000000","35141960","0.018","436895660",NA,NA,"0.2351","2664796",NA,2022,NA,"0.0695","0.0695","28.0","0.0225","0.1678","476091410","0.0853",NA,NA,NA,"Plan covers state employees","5547000000",NA
"1207",2001,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","-0.051","0.073","Entry Age Normal",NA,NA,"2778159228",NA,NA,NA,"52842945","1.0141964955813876",NA,NA,"Level Percent Open","-101546130","101546000","-11873515","-2142108",NA,"4-year smoothed market",NA,"57098410",NA,"53208203",NA,"24143000",NA,"2177",NA,NA,NA,"0.08",NA,"30.0",NA,NA,"110940500",NA,NA,NA,NA,"Plan covers state and local employees",NA,NA
"1208",2002,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","-0.073","0.014","Entry Age Normal","1","3076781000","2564241421",NA,"3077764000",NA,"55368519","1.010031828010426",NA,NA,"Level Percent Open","-114662820","115613000","-10683442","-1824937",NA,"4-year smoothed market","808747000","59938133","0.069","55548285",NA,"26482000","0.069","459",NA,2004,NA,"0.08","0.08","0.0",NA,"0.0159","116097880","0.1221",NA,NA,NA,"Plan covers state and local employees","983000","0.0425"
"1209",2003,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","0.065","-0.003","Entry Age Normal","0.92904","3062034000","2711242733",NA,"3295924500",NA,"58113756","0.9913582288950658",NA,NA,"Level Percent Open","-122203690","125410000","-10218257","-1670320",NA,"4-year smoothed market","820797000","61750000",NA,"56882449",NA,"26666000",NA,"649",NA,NA,NA,"0.08",NA,"0.0",NA,NA,"120271910",NA,NA,NA,NA,"Plan covers state and local employees","233890500",NA
"1210",2004,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","0.134","0.013","Entry Age Normal","0.87","3047287000","3049976858",NA,"3514085000",NA,"57036189","1.020256015162584",NA,NA,"Level Percent Open","-132683140","135207000","-10913131","-2699304",NA,"4-year smoothed market","832847000","61911000","0.069","57452902",NA,"26584000","0.0805","1182",NA,2006,NA,"0.08","0.08","100.0",NA,"0.0287","120948740","0.1208",NA,NA,NA,"Plan covers state and local employees","466798000","0.0425"
"1211",2005,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","0.08","0.053","Entry Age Normal","0.85","3179010000","3267528219",NA,"3719998000",NA,"71943814","0.8216489580827616",NA,NA,"Level Percent Open","-142789020","145150000","-13236058","-2444078",NA,"4-year smoothed market","847431000","66921000","0.069","59971094",NA,"28761000","0.0844","2716",NA,2007,NA,"0.08","0.08","100.0",NA,"0.0322","127534770","0.1212",NA,NA,NA,"Plan covers state and local employees","540988000","0.0425"
"1212",2006,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","0.09","0.093","Entry Age Normal","0.88","3459084000","3551602944",NA,"3919313000",NA,"69754683","0.9159372727792342",NA,NA,"Level Percent Open","-153885660","156999000","-12753802","-2661191",NA,"4-year smoothed market","880708000","66002000","0.069","63089059",NA,"30093000","0.0787","25003469",NA,2008,NA,"0.08","0.08","100.0",NA,"0.026","154804750","0.1217",NA,NA,NA,"Plan covers state and local employees","460229000","0.0425"
"1213",2007,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","0.179","0.12","Entry Age Normal","0.91","3825234000","4145425505",NA,"4201251000",NA,"60698758","1.1033354444583527",NA,NA,"Level Percent Open","-166187970","170192000","-12867508","-2447501",NA,"4-year smoothed market","907424000","69054000","0.069","66527477",NA,"32111000","0.0664","1413",NA,2009,NA,"0.08","0.08","21.0",NA,"0.0132","136416630","0.1222",NA,NA,NA,"Plan covers state and local employees","376017000","0.0425"
"1214",2008,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","-0.049","0.076","Entry Age Normal","0.9","4065307000","3899116052",NA,"4504743000",NA,"65802938","1.1036018854507683",NA,NA,"Level Percent Open","-180881450","185155000","-12123478","-2579102",NA,"4-year smoothed market","955113000","72680000","0.069","71851000",NA,"36324000","0.0685","97",NA,2010,NA,"0.08","0.08","24.0",NA,"0.0162","145130330","0.1213",NA,NA,NA,"Plan covers state and local employees","439436000","0.0425"
"1215",2009,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","-0.2085","-0.0016","Entry Age Normal","0.84","4002212000","3043883633",NA,"4792819000",NA,"95863304","0.7946680862533176",NA,NA,"Level Percent Open","-196463590","201412080","-10821072","-2640347",NA,"4-year smoothed market value.","1003215000","75867558","0.069","75414617",NA,"37465000","0.0952","384",NA,2011,NA,"0.08","0.08","30.0",NA,"0.0426","151896340","0.1216",NA,NA,NA,"Plan covers state and local employees","790607000","0.0425"
"1216",2010,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","0.1291","-0.0118","Entry Age Normal","0.74","3889890000","3375594484",NA,"5241819000",NA,"132541269","0.6062016350907279",NA,NA,"Level Percent Open","-212244810","216968580","-10967292","-2966138",NA,"4-year smoothed market value.","1083780000","78614299","0.069","79814742",NA,NA,"0.1218","4286",NA,2012,NA,"0.0775","0.0775","30.0",NA,"0.0647","159102140","0.1261",NA,NA,NA,"Plan covers state and local employees","1351929000","0.04"
"1217",2011,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","0.217","-0.0008","Entry Age Normal","0.7","3800479000","4020895420",NA,"5410144000",NA,"145502882","0.5473040224619056",NA,NA,"Level Percent Open","-231293640","238460800","-11302115","-2997555",NA,"4-year smoothed market value.","1071376000","77797639","0.069","78656688",NA,"36680000","0.1353","167",NA,2013,NA,"0.0775","0.0775","30.0",NA,"0.0784","157159690","0.1259",NA,NA,NA,"Plan covers state and local employees","1609665000","0.04"
"1218",2012,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","0.0227","0.0328","Entry Age Normal","0.67","3816920000","4011369132",NA,"5661281000",NA,"148639548","0.538468777808716",NA,NA,"Level Percent Open","-252835660","258468970","-11990973","-3058174",NA,"4-year smoothed market value.","1081288000","79261405","0.0701","79497914",NA,"79498000","0.137","100",NA,2014,NA,"0.0775","0.0775","30.0",NA,"0.0891","159495420","0.118",NA,NA,NA,"Plan covers state and local employees","1844361000","0.04"
"1219",2013,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","0.1299","0.1191","Entry Age Normal","0.8","4139921000","4407315609","4299238343","5160951000",NA,"87196003","0.9388752334955077",NA,NA,"Level Percent Open","-274094160","281465590","-11253670","-3519421",NA,"4-year smoothed market value.","1104000000","80768508","0.079","81337422",NA,"81776000","0.0785","725",NA,2015,NA,"0.0775","0.0775","30.0",NA,"0.0485","162819420","0.109",NA,NA,NA,"Plan covers state and local employees","1021030000","0.04"
"1220",2014,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","0.1712","0.1321","Entry Age Normal","0.74","4595805000","5077559117","4942769917","6177505000","6188780815","137681000","0.94699",NA,NA,"Level Percent Open","-296252160","302758500","-10356919","-3422413",NA,"4-year smoothed market value.","1129109000","92041676","0.079","95737273",NA,"96185000","0.1137","33675313",NA,2016,NA,"0.0775","0.0775","30.0",NA,"0.0764","222520340","0.1163",NA,NA,NA,"Plan covers state and local employees","1581700000","0.04"
"1221",2015,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","0.046","0.0963","Entry Age Normal","0.76","4926516000","5210244072","5061058221","6470303000","6458930267","131424000","1.02449",NA,NA,"Level Percent Open","-319586780","326390340","-12521909","-3551450",NA,"4-year smoothed market value.","1154867000","95424031","0.079","100053870",NA,"134172000","0.1053","33553297",NA,2017,NA,"0.0775","0.0775","30.0",NA,"0.0725","230066610","0.1118",NA,NA,NA,"Plan covers state and local employees","1543787000","0.04"
"1222",2016,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","0.0202","0.0927","Entry Age Normal","0.77","5247685000","5195295578","5032807110","6787923000","6736152999","133128000","1.0",NA,NA,"Level Percent Open","-344183690","351707940","-10645257","-3858330",NA,"4-year smoothed market value.","1185646000","97342719","0.079","102088550",NA,"133128000","0.0847","29843047",NA,2018,NA,"0.0775","0.0775","30.0",NA,"0.0503","230470920","0.1134",NA,NA,NA,"Plan covers state and local employees","1540238000","0.04"
"1223",2017,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","0.1193","0.0808","Entry Age Normal","0.73","5514027000","5672794063","5472519182","7578385000","7420145583","132295000","1.0",NA,NA,"Level Percent Open","-366440250","375071220","-12325937","-4472084",NA,"4-year smoothed market value.","1232067000","100768139","0.079","103337410",NA,NA,"0.0857","27990455",NA,2019,NA,"0.0765","0.0765","30.0","0.035","0.0661","233062660","0.0986",NA,NA,NA,"Plan covers state and local employees","2064358000","0.035"
"1224",2018,"Montana Public Employees’ Retirement System - Defined Benefit Retirement Plan","Montana","0.089","0.0669","Entry Age Normal","0.74","5705236000","6014797578","5779994008","7730084000","7867135877","141310000","1.0",NA,NA,"Level Percent Open","-396064660","402968970","-12619498","-4168771",NA,"4-year smoothed market value.","1230105000","102075271","0.079","106121980",NA,"107637409000","0.0867","33634848",NA,2020,NA,"0.0765","0.0765","38.0","0.035","0.063","243385440","0.1027",NA,NA,NA,"Plan covers state and local employees","2024848000","0.035"
