"","year","plan_name","state","return_1yr","actuarial_cost_method_in_gasb_reporting","funded_ratio","ava","mva","aal","tpl","adec","adec_paid_pct","statutory","statutory_pct","amortizaton_method","total_benefit_payments","benefit_payments","refunds","admin_exp","cost_structure","payroll","ee_contribution","ee_nc_pct","er_contribution","er_nc_pct","er_state_contribution","er_proj_adec_pct","other_contribution","other_additions","fy_contribution","inflation_assum","arr","dr","number_of_years_remaining_on_amortization_schedule","payroll_growth_assumption","total_amortization_payment_pct","total_contribution","total_nc_pct","total_number_of_members","total_proj_adec_pct","type_of_employees_covered","unfunded_actuarially_accrued_liabilities_dollar","wage_inflation"
"967","2011","Minnesota Public Employees Retirement Association (MPERA) General Employees Retirement Fund","Minnesota","0.233","Entry Age Normal","0.7518","13455753000","13616622000","17898849000",NA,"321782000","1.1113",NA,NA,"Level Percent Closed","-950708000","964338000","-38218000","-9748000",NA,"5079429000","311115000","0.0625","357596000",NA,"0","0.0722",NA,NA,NA,NA,"0.0793",NA,"20.0","0.0375","0.0682","668711000","0.0665",NA,NA,"Plan covers state and local employees","4443096000",NA
"968","2012","Minnesota Public Employees Retirement Association (MPERA) General Employees Retirement Fund","Minnesota","0.024","Entry Age Normal","0.7345","13661682000","13577653000","18598897000",NA,"371295000","0.9912",NA,NA,"Level Percent Closed","-1000644000","1015249100","-39105000","-9650000",NA,"5142592000","321412000","0.0625","368037000",NA,"0","0.0821",NA,NA,NA,NA,"0.0792",NA,"19.0","0.0375","0.0762","689449000","0.0684",NA,NA,"Plan covers state and local employees","4937215000",NA
"969","2013","Minnesota Public Employees Retirement Association (MPERA) General Employees Retirement Fund","Minnesota","0.142","Entry Age Normal","0.7282","14113295000","15084608000","19379769000",NA,"430773000","0.8651",NA,NA,"Level Percent Closed","-1051591000","1067403600","-35865000","-9897000",NA,"5246928000","327933000","0.0625","372652000",NA,"0","0.089",NA,NA,NA,NA,"0.0791",NA,"18.0","0.0375","0.0833","700585000","0.0682",NA,NA,"Plan covers state and local employees","5266474000",NA
"970","2014","Minnesota Public Employees Retirement Association (MPERA) General Employees Retirement Fund","Minnesota","0.186","Entry Age Normal","0.7351","15644540000","17404822000","21282504000","22102321000","476321000","0.8025100000000001",NA,NA,"Level Percent Closed","-1109866000","1148130000","-38264000","-9861000",NA,"5351920000","334495000","0.06375","382251000",NA,"24000000","0.09425",NA,NA,NA,NA,"0.0841",NA,"19.0","0.0375","0.0842","716746000","0.0738",NA,NA,"Plan covers state and local employees","5637964000",NA
"971","2015","Minnesota Public Employees Retirement Association (MPERA) General Employees Retirement Fund","Minnesota","0.044","Entry Age Normal","0.7629","17974439000","18581795000","23560951000","23764314000","523017000","0.83193",NA,NA,"Level Percent Closed","-1235303000","1270958000","-35655000","-10367000",NA,"5549255000","353765000","0.065","435115000",NA,"21575000","0.0939",NA,NA,NA,NA,"0.08",NA,"18.0","0.035","0.0827","788880000","0.0762",NA,NA,"Plan covers state and local employees","5586512000",NA
"972","2016","Minnesota Public Employees Retirement Association (MPERA) General Employees Retirement Fund","Minnesota","-0.001","Entry Age Normal","0.7552","18765863000","17995149000","24848409000","26114413000","542151000","0.8595",NA,NA,"Level Percent Closed","-1359176000","1396385000","-37209000","-11110000",NA,"5773708000","375291000","0.065","459978000",NA,"6000000","0.0999",NA,NA,NA,NA,"0.08",NA,"17.0","0.035","0.0889","841269000","0.076",NA,NA,"Plan covers state and local employees","6082546000",NA
"973","2017","Minnesota Public Employees Retirement Association (MPERA) General Employees Retirement Fund","Minnesota","0.151","Entry Age Normal","0.7775","19916322000","20100579000","25615722000","26484513000","615083000","0.7867",NA,NA,"Level Percent Closed","-1413448000","1450682000","-37234000","-11292000",NA,"6156985000","400204000","0.065","477888000",NA,NA,"0.0968",NA,NA,NA,NA,"0.08",NA,"17.0","0.035","0.0827","884092000","0.0791",NA,NA,"Plan covers state and local employees","5699400000",NA
"974","2018","Minnesota Public Employees Retirement Association (MPERA) General Employees Retirement Fund","Minnesota","0.103","Entry Age Normal","0.7797","21129746000","21553477000","27101067000","27101067000","609725000","0.82795",NA,NA,"Level Percent Closed","-1470450000","1513039000","-42589000","-11943000",NA,"6298815000","409423000","0.065","488819000",NA,"16000000000","0.0695",NA,NA,NA,NA,"0.075",NA,"30.0","0.0325","0.0565","914242000","0.078",NA,NA,"Plan covers state and local employees","5971321000",NA
"975","2019","Minnesota Public Employees Retirement Association (MPERA) General Employees Retirement Fund","Minnesota","0.073","Entry Age Normal","0.7858","21979022000","22440968000","27969744000","27969744000","453401000","1.17213",NA,NA,"Level Percent Closed","-1536071000","1601905000","-65834000","-13470000",NA,"6523754000","424044000","0.065","515444000",NA,NA,"0.068",NA,NA,NA,NA,"0.075",NA,"30.0",NA,"0.0555","955488000","0.0775",NA,NA,"Plan covers state and local employees","5990722000",NA
"976","2001","Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota","-0.071","Entry Age Normal","1.2046","4472041000","4185783000","3712360000",NA,"29811000","1.7765",NA,NA,"Level Percent Closed","-192246000","203033000","-3358000","-639000",NA,"500839000","31341000",NA,"52960000",NA,"0",NA,NA,NA,NA,NA,"0.085",NA,"30.0",NA,NA,"84301000",NA,NA,NA,"Plan covers police and/or fire","-759681000",NA
"977","2002","Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota","-0.08","Entry Age Normal","1.2023","4672679000","3770007000","3886311000",NA,"32042000","2.8295",NA,NA,"Level Percent Closed","-212405000","218719000","-711000","-647000",NA,"522153000","33801000",NA,"56088280",NA,"0",NA,NA,NA,NA,NA,"0.085",NA,"30.0",NA,NA,"124465000",NA,NA,NA,"Plan covers police and/or fire","-786368000",NA
"978","2003","Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota","0.024","Entry Age Normal","1.0665","4683115000","3708020000","4390953000",NA,"35424000","1.4374",NA,NA,"Level Percent Closed","-225434000","229405000","-643000","-675000",NA,"560503000","34751000",NA,"47100905",NA,"0",NA,NA,NA,NA,NA,"0.085",NA,"30.0",NA,NA,"85668000",NA,NA,NA,"Plan covers police and/or fire","-292162000",NA
"979","2004","Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota","0.165","Entry Age Normal","1.0116","4746834000","4138504000","4692190000",NA,"71019000","0.743",NA,NA,"Level Percent Closed","-237442000","243458000","-644000","-712000",NA,"551266000","36313000",NA,"52769000",NA,"0",NA,NA,NA,NA,NA,"0.085",NA,"30.0",NA,NA,"89082000",NA,NA,NA,"Plan covers police and/or fire","-54644000",NA
"980","2005","Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota","0.107","Entry Age Normal","0.9715","4814961000","4416276000","4956340000",NA,"89828000","0.6212",NA,NA,"Level Percent Closed","-251429000","253049000","-734000","-703000",NA,"580723000","37873000",NA,"55802000",NA,"0",NA,NA,NA,NA,NA,"0.085",NA,"15.0",NA,NA,"93675000",NA,NA,NA,"Plan covers police and/or fire","141379000",NA
"981","2006","Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota","0.123","Entry Age Normal","0.9539","5017951000","4802255000","5260564000",NA,"107681000","0.5907",NA,NA,"Level Percent Closed","-264601000","265952000","-867000","-707000",NA,"618435000","42970000","0.074","63603000",NA,"0","0.111",NA,NA,NA,NA,"0.085",NA,"14.0","0.06","-0.0382","106573000","0.2232",NA,NA,"Plan covers police and/or fire","242613000",NA
"982","2007","Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota","0.183","Entry Age Normal","0.917","5198922000","5529663000","5669347000",NA,"116325000","0.6422",NA,NA,"Level Percent Closed","-280267000","283128000","-874000","-678000",NA,"648342000","50689000","0.082","74707000",NA,"0","0.123",NA,NA,NA,NA,"0.085",NA,"13.0","0.05","-0.0169","125396000","0.2219",NA,NA,"Plan covers police and/or fire","470425000",NA
"983","2008","Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota","-0.05","Entry Age Normal","0.8842","5233015000","5110824000","5918061000",NA,"144548000","0.602",NA,NA,"Level Percent Closed","-295994000","300928000","-1496000","-745000",NA,"703701000","58259000","0.09","87023000",NA,"0","0.135",NA,NA,NA,NA,"0.085",NA,"30.0","0.045","-0.0057","145282000","0.2307",NA,NA,"Plan covers police and/or fire","685046000",NA
"984","2009","Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota","-0.188","Entry Age Normal","0.8322","5239855000","4001046000","6296274000",NA,"140591000","0.7223",NA,NA,"Level Percent Closed","-310100000","316217000","-1237000","-747000",NA,"733164000","67701000","0.094","101548000",NA,"0","0.141",NA,NA,NA,NA,"0.085",NA,"29.0","0.045","0.0143","169249000","0.2207",NA,NA,"Plan covers police and/or fire","1056419000",NA
"985","2010","Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota","0.152","Entry Age Normal","0.87","5188339000","4453737000","5963672000",NA,"150220000","0.7127",NA,NA,"Level Percent Closed","-326041000","333223000","-1493000","-753000",NA,"740101000","71736000","0.095","107065000",NA,"0","0.1425",NA,NA,NA,NA,"0.085",NA,"28.0","0.045","0.041","178801000","0.1965",NA,NA,"Plan covers police and/or fire","775333000",NA
"986","2011","Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota","0.233","Entry Age Normal","0.8289","5274602000","5317032000","6363546000",NA,"124284000","0.8819",NA,NA,"Level Percent Closed","-342219000","348498000","-2012000","-762000",NA,"775806000","73702000","0.096","109604000",NA,"0","0.144",NA,NA,NA,NA,"0.085",NA,"27.0","0.0375","0.0423","183306000","0.1977",NA,NA,"Plan covers police and/or fire","1088944000",NA
"987","2012","Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota","0.024","Entry Age Normal","0.7831","5797868000","5772047000","7403295000",NA,"152369000","0.8",NA,NA,"Level Percent Closed","-386208000","421399000","-1524000","-855000",NA,"794417000","76264000","0.096","121891000",NA,"0","0.1583",NA,NA,NA,NA,"0.08",NA,"27.0","0.0375","0.0487","198155000","0.2056",NA,NA,"Plan covers police and/or fire","1605427000",NA
"988","2013","Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota","0.142","Entry Age Normal","0.8123","5932945000","6346741000","7304032000","7714189000","189254000","0.66575",NA,NA,"Level Percent Closed","-431726000","438370000","-2020000","-755000",NA,"796188000","76434000","0.099","125995000",NA,"0","0.1735",NA,NA,NA,NA,"0.08",NA,"26.0","0.0375","0.0835","202429000","0.189",NA,NA,"Plan covers police and/or fire","1371087000",NA
"989","2014","Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota","0.186","Entry Age Normal","0.8005","6525019000","7273100000","8151328000","8353141000","163985000","0.86369",NA,NA,"Level Percent Closed","-452462000","470737000","-1633000","-798000",NA,"820333000","81213000","0.105","132632000",NA,"9000000","0.1823",NA,NA,NA,NA,"0.08",NA,"27.0","0.0375","0.0759","222845000","0.2114",NA,NA,"Plan covers police and/or fire","1626309000",NA
"990","2015","Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota","0.044","Entry Age Normal","0.8364","7076271000","7348704000","8460477000","8484938000","197325000","0.77698",NA,NA,"Level Percent Closed","-481330000","490437000","-1953000","-803000",NA,"845076000","88733000","0.108","144317000",NA,"9000000","0.1879",NA,NA,NA,NA,"0.08",NA,"26.0","0.035","0.0765","242050000","0.2194",NA,NA,"Plan covers police and/or fire","1384206000",NA
"991","2016","Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota","-0.001","Entry Age Normal","0.8774","7385777000","7098090000","8417621000","11111264000","189375000","0.8716299999999999",NA,NA,"Level Percent Closed","-498608000","502533000","-2391000","-906000",NA,"881222000","95172000","0.108","156065000",NA,"9000000","0.1868",NA,NA,NA,NA,"0.08",NA,"25.0","0.035","0.0875","260237000","0.2073",NA,NA,"Plan covers police and/or fire","1031844000",NA
"992","2017","Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota","0.151","Entry Age Normal","0.8523","7840549000","7918879000","9199208000","9268998000","165252000","1.06098",NA,NA,"Level Percent Closed","-512379000","521409000","-2119000","-992000",NA,"944296000","101984000","0.108","166329000",NA,NA,"0.1978",NA,NA,NA,NA,"0.08",NA,"25.0","0.035","0.093","277313000","0.2128",NA,NA,"Plan covers police and/or fire","1358659000",NA
"993","2018","Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota","0.103","Entry Age Normal","0.871","8320094000","8486907000","9552804000","9552804000","193183000","0.93063",NA,NA,"Level Percent Closed","-528468000","536185690","-1902000","-886000",NA,"976657000","105479000","0.1105","170781000",NA,"9000000000","0.1715",NA,NA,NA,NA,"0.075",NA,"30.0","0.0325","0.073","285260000","0.209",NA,NA,"Plan covers police and/or fire","1232710000",NA
"994","2019","Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund","Minnesota","0.073","Entry Age Normal","0.8741","8661613000","8844552000","9909153000","9909153000","173459000","1.08566",NA,NA,"Level Percent Closed","-547699000","558326560","-3283000","-1018000",NA,"1011421000","111762000","0.1155","174817000",NA,NA,"0.1663",NA,NA,NA,NA,"0.075",NA,"30.0",NA,"0.0726","300079000","0.2092",NA,NA,"Plan covers police and/or fire","1247540000",NA
"995","2001","Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota","-0.071","Entry Age Normal","1.1207","7366673000","6890858000","6573193000",NA,"73362000","1.3049",NA,NA,"Level Percent Open","-270558000","270558000","-9750000","-3738000",NA,"1834042000","74364000","0.04","73362000",NA,"79482000","0.0279",NA,NA,NA,NA,NA,NA,NA,NA,"-0.0197","147726000","0.0876",NA,NA,"Plan covers state employees","-793480000",NA
"996","2002","Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota","-0.082","Entry Age Normal","1.0453","7673028000","6199716000","7340397000",NA,"76614000","1.5152",NA,NA,"Level Percent Open","-296687000","296687000","-8068000","-3942000",NA,"1915350000","79487000","0.04","76614000",NA,"82924000","0.0434",NA,NA,NA,NA,NA,NA,"30.0",NA,"-0.0068","156101000","0.0902",NA,NA,"Plan covers state employees","-332631000",NA
"997","2003","Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota","0.024","Entry Age Normal","0.9906","7757292000","6164054000","7830671000",NA,"83782000","0.9596",NA,NA,"Level Percent Open","-311472000","311472000","-8195000","-4191000",NA,"2009975000","83850000","0.04","80399000",NA,"80399000","0.0543",NA,NA,NA,NA,NA,NA,"30.0",NA,"0.004","164249000","0.0903",NA,NA,"Plan covers state employees","73379000",NA
"998","2004","Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota","0.165","Entry Age Normal","1.0008","7884984000","6966602000","7878363000",NA,"103249000","0.7615",NA,NA,"Level Percent Open","-328546000","339323000","-10777000","-4673000",NA,"1965546000","82103000","0.04","78622000",NA,"78622000","0.0533",NA,NA,NA,NA,"0.085",NA,"30.0","0.05","0.002","160725000","0.0913",NA,NA,"Plan covers state employees","-6621000",NA
"999","2005","Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota","0.107","Entry Age Normal","0.9558","8081736000","7511060000","8455336000",NA,"99051000","0.8108",NA,NA,"Level Percent Open","-347959000","347959000","-10707000","-4336000",NA,"1952323000","83101000","0.04","80312000",NA,"80312000","0.0655",NA,NA,NA,NA,"0.085",NA,"15.0","0.05","0.0176","163413000","0.0879",NA,NA,"Plan covers state employees","373600000",NA
"1000","2006","Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota","0.123","Entry Age Normal","0.9623","8486756000","8221041000","8819161000",NA,"127371000","0.6488",NA,NA,"Level Percent Open","-366797000","366797000","-12555000","-4588000",NA,"2016588000","85379000","0.04","82645000",NA,"82645000","0.0611",NA,NA,NA,NA,"0.085",NA,"14.0","0.05","0.0159","168024000","0.0852",NA,NA,"Plan covers state employees","332405000",NA
"1001","2007","Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota","0.183","Entry Age Normal","0.9249","8904517000","9507005000","9627305000",NA,"122389000","0.7067",NA,NA,"Level Percent Closed","-392058000","392058000","-11102000","-4916000",NA,"2095310000","89447000","0.0425","86492000",NA,"86492000","0.0751",NA,NA,NA,NA,"0.07131",NA,"13.0","0.05","0.0336","175939000","0.084",NA,NA,"Plan covers state employees","722788000",NA
"1002","2008","Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota","-0.05","Entry Age Normal","0.9018","9013456000","8803140000","9994602000",NA,"166088000","0.5825",NA,NA,"Level Percent Closed","-418757000","418757000","-11676000","-5152000",NA,"2256528000","99280000","0.045","96746000",NA,"96746000","0.0789",NA,NA,NA,NA,"0.07131",NA,"12.0","0.045","0.0461","196026000","0.0778",NA,NA,"Plan covers state employees","981146000",NA
"1003","2009","Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota","-0.188","Entry Age Normal","0.859","9030401000","6897118000","10512760000",NA,"179759000","0.5964",NA,NA,"Level Percent Closed","-445792000","445792000","-10907000","-5320000",NA,"2329499000","108866000","0.0475","107211000",NA,"107211000","0.101",NA,NA,NA,NA,"0.07134",NA,"11.0","0.045","0.0699","216077000","0.0786",NA,NA,"Plan covers state employees","1482359000",NA
"1004","2010","Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota","0.152","Entry Age Normal","0.873","8960391000","7692531000","10264071000",NA,"230439000","0.4935",NA,NA,"Level Percent Closed","-473447000","473447000","-9733000","-5771000",NA,"2327398000","115181000","0.05","113716000",NA,"113716000","0.0599","0",NA,NA,NA,"0.07262",NA,"30.0","0.045","0.0322","228897000","0.0777",NA,NA,"Plan covers state employees","1303680000",NA
"1005","2011","Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota","0.233","Entry Age Normal","0.8632","9130011000","9196237000","10576481000",NA,"146191000","0.811",NA,NA,"Level Percent Closed","-505573000","505573000","-14206000","-6064000",NA,"2440580000","122029000","0.05","118563000",NA,"118563000","0.0603",NA,NA,NA,NA,"0.07328",NA,"29.0","0.0375","0.0389","240592000","0.0714",NA,NA,"Plan covers state employees","1446470000",NA
"1006","2012","Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota","0.024","Entry Age Normal","0.8267","9162301000","9098097000","11083227000",NA,"142740000","0.8068",NA,NA,"Level Percent Closed","-552088000","552088000","-11573000","-6341000",NA,"2367160000","118358000","0.05","115159000",NA,"115159000","0.0732",NA,NA,NA,NA,"0.06989",NA,"28.0","0.0375","0.0515","233517000","0.0717",NA,NA,"Plan covers state employees","1920926000",NA
"1007","2013","Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota","0.142","Entry Age Normal","0.8204","9375780000","10033499000","11428641000",NA,"181756000","0.6694",NA,NA,"Level Percent Closed","-586256000","586256000","-12222000","-8589000",NA,"2483000000","124150000","0.05","121673000",NA,"121673000","0.0745",NA,NA,NA,NA,"0.07272",NA,"27.0","0.0375","0.055","245823000","0.0695",NA,NA,"Plan covers state employees","2052861000",NA
"1008","2014","Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota","0.186","Entry Age Normal","0.8297","10326272000","11498604000","12445126000","13120176000","195239000","0.6558",NA,NA,"Level Percent Closed","-623942000","623942000","-11986000","-8125000",NA,"2620660000","131033000","0.055","128037000",NA,"128037000","0.0732",NA,NA,NA,NA,"0.0841",NA,"26.0","0.0375","0.0545","259070000","0.0737",NA,NA,"Plan covers state employees","2118854000",NA
"1009","2015","Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota","0.044","Entry Age Normal","0.8572","11223285000","11638319000","13092702000","13177712000","198695000","0.73647",NA,NA,"Level Percent Closed","-665821000","665821000","-12026000","-8742000",NA,"2714418000","149293000","0.055","146333000",NA,"146333000","0.0694",NA,NA,NA,NA,"0.08",NA,"26.0","0.035","0.0478","295626000","0.0766",NA,NA,"Plan covers state employees","1869417000",NA
"1010","2016","Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota","-0.001","Entry Age Normal","0.8156","11676370000","11223065000","14316886000","23621950000","194136000","0.77867",NA,NA,"Level Percent Closed","-707361000","707361000","-13345000","-10196000",NA,"2797345000","153854000","0.055","151168000",NA,"151168000","0.0899",NA,NA,NA,NA,"0.08",NA,"26.0","0.035","0.063","305022000","0.0819",NA,NA,"Plan covers state employees","2640516000",NA
"1011","2017","Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota","0.151","Entry Age Normal","0.8522","12364957000","12485614000","14509150000","19903520000","264257000","0.59924",NA,NA,"Level Percent Closed","-750525000","750526000","-11576000","-10219000",NA,"2939455000","161670000","0.055","158352000",NA,NA,"0.0774",NA,NA,NA,NA,"0.08",NA,"25.0","0.035","0.0505","320022000","0.0819",NA,NA,"Plan covers state employees","2144193000",NA
"1012","2018","Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota","0.103","Entry Age Normal","0.888","13035350000","13293422000","14679489000","14679489000","234629000","0.69997",NA,NA,"Level Percent Closed","-797027000","797027000","-13533000","-9564000",NA,"3031382000","166726000","0.0575","164233000",NA,"164233000000","0.0588",NA,NA,NA,NA,"0.075",NA,"30.0","0.0325","0.0349","330959000","0.0814",NA,NA,"Plan covers state employees","1644139000",NA
"1013","2019","Minnesota State Retirement System (MSRS) General State Employees Retirement Plan","Minnesota","0.073","Entry Age Normal","0.88871","13489773000","13772289000","15179140000","15179140000","183161000","0.99879",NA,NA,"Level Percent Closed","-841776000","841776000","-15199000","-9877000",NA,"3168870000","182210000","0.06","182939000",NA,NA,"0.0625",NA,NA,NA,NA,"0.075",NA,"29.0",NA,"0.0407","365149000","0.0818",NA,NA,"Plan covers state employees","1689367000",NA
"1014","2001","Minnesota Teachers Retirement Association","Minnesota","-0.071","Entry Age Normal","1.0585","16834024000","15902335962","15903984000",NA,"77635000","1.8007",NA,NA,"Level Percent Closed","-870248256","861399000","-7608839","-13077718",NA,"2812000000","145075285","0.05","139799408",NA,"11592000","0.0285","388508",NA,NA,NA,NA,NA,"30.0","0.05","-0.0124","285263201","0.0909",NA,NA,"Plan covers teachers","-930040000",NA
"1015","2002","Minnesota Teachers Retirement Association","Minnesota","-0.082","Entry Age Normal","1.0531","17378994000","13997762175","16503099000",NA,"73260000","1.9413",NA,NA,"Level Percent Closed","-947162294","945222000","-7353363","-12911651",NA,"2873771000","152331067","0.05","142221589",NA,"10605000","0.0257","1121984",NA,NA,NA,NA,NA,"30.0","0.05","-0.0111","295674640","0.0868",NA,NA,"Plan covers teachers","-875895000",NA
"1016","2003","Minnesota Teachers Retirement Association","Minnesota","0.024","Entry Age Normal","1.0313","17384179000","13601606463","16856379000",NA,"67957000","2.1996",NA,NA,"Level Percent Closed","-978900813","976977000","-6656191","-13158348",NA,"2952887000","155577148","0.05","149480510",NA,"10605000","0.0337","1489708",NA,NA,NA,NA,NA,"30.0","0.05","-0.0047","306547366","0.0884",NA,NA,"Plan covers teachers","-527800000",NA
"1017","2004","Minnesota Teachers Retirement Association","Minnesota","0.165","Entry Age Normal","1.0001","17519909000","15095803651","17518784000",NA,"94679000","1.5952",NA,NA,"Level Percent Closed","-1008983850","1005044500","-6861708","-12179212",NA,"3032483000","159139548","0.05","151028911",NA,"10572000","0.0346","3365997",NA,NA,NA,"0.06972",NA,"30.0","0.05","0.0039","313534456","0.0807",NA,NA,"Plan covers teachers","-1125000",NA
"1018","2005","Minnesota Teachers Retirement Association","Minnesota","0.107","Entry Age Normal","0.9851","17752917000","15928603867","18021410000",NA,"103103000","1.5295",NA,NA,"Level Percent Closed","-1050062911","1045455400","-6744116","-10883151",NA,"3121571000","160982004","0.05","157693090",NA,"11039000","0.0405","2985078",NA,NA,NA,"0.06987",NA,"15.0","0.05","0.0103","321660172","0.0802",NA,NA,"Plan covers teachers","268493000",NA
"1019","2006","Minnesota Teachers Retirement Association","Minnesota","0.123","Entry Age Normal","0.9205","19035612000","17764526441","20679111000",NA,"133389000","1.5015",NA,NA,"Level Percent Closed","-1226068299","1221029800","-11872504","-11912701",NA,"3430645000","177084906","0.0551","179021626",NA,"12532000","0.066","3182223",NA,NA,NA,"0.0694",NA,"30.0","0.05","0.0267","359288755","0.0944",NA,NA,"Plan covers teachers","1643499000",NA
"1020","2007","Minnesota Teachers Retirement Association","Minnesota","0.183","Entry Age Normal","0.8754","18794389000","19938881872","21470314000",NA,"229642000","0.9111",NA,NA,"Level Percent Closed","-1276402483","1269560400","-12088193","-10635365",NA,"3532159000","199868969","0.0551","187338732",NA,"34994000","0.0793","25413403",NA,NA,NA,"0.06925",NA,"30.0","0.05","0.0407","412621104","0.0937",NA,NA,"Plan covers teachers","2675925000",NA
"1021","2008","Minnesota Teachers Retirement Association","Minnesota","-0.05","Entry Age Normal","0.8199","18226985000","18106965760","22230841000",NA,"280327000","0.826",NA,NA,"Level Percent Closed","-1332524283","1327282900","-11770086","-10261139",NA,"3645230000","209592461","0.055","209716767",NA,"36525000","0.0958","25398600",NA,NA,NA,"0.07127",NA,"29.0","0.045","0.0631","444707828","0.0877",NA,NA,"Plan covers teachers","4003856000",NA
"1022","2009","Minnesota Teachers Retirement Association","Minnesota","-0.188","Entry Age Normal","0.7736","17882408000","13833825733","23114802000",NA,"355189000","0.6772",NA,NA,"Level Percent Closed","-1389021518","1381366300","-14429351","-10608003",NA,"3761484000","212042535","0.055","220270172",NA,"35867000","0.1131","22749233",NA,NA,NA,"0.07121",NA,"28.0","0.045","0.0793","455061940","0.0888",NA,NA,"Plan covers teachers","5232394000",NA
"1023","2010","Minnesota Teachers Retirement Association","Minnesota","0.152","Entry Age Normal","0.7845","17323146000","14939539780","22081634000",NA,"421813000","0.5739",NA,NA,"Level Percent Closed","-1422578335","1421381800","-11607086","-9587524",NA,"3787757000","214908960","0.055","220538486",NA,"36987000","0.1021","22806468",NA,NA,NA,"0.07214",NA,"27.0","0.0375","0.0735","458253914","0.0836",NA,NA,"Plan covers teachers","4758488000",NA
"1024","2011","Minnesota Teachers Retirement Association","Minnesota","0.233","Entry Age Normal","0.7727","17132383000","17303575561","22171493000",NA,"384943000","0.6345",NA,NA,"Level Percent Closed","-1460836392","1459549600","-23812985","-9264278",NA,"3838111000","218023736","0.06","222722891",NA,"32646000","0.1057","22801064",NA,NA,NA,"0.06721",NA,"26.0","0.0375","0.084","463547691","0.0817",NA,NA,"Plan covers teachers","5039110000",NA
"1025","2012","Minnesota Teachers Retirement Association","Minnesota","0.024","Entry Age Normal","0.7299","16805077000","16689940629","23024505000",NA,"401725000","0.6638",NA,NA,"Level Percent Closed","-1486386832","1485527400","-11835977","-10023488",NA,"3871809000","239833920","0.065","244934613",NA,"33973000","0.1225","22585884",NA,NA,NA,"0.06704",NA,"25.0","0.0375","0.1022","507354417","0.0853",NA,NA,"Plan covers teachers","6219428000",NA
"1026","2013","Minnesota Teachers Retirement Association","Minnesota","0.142","Entry Age Normal","0.7163","16774626000","18019318901","23418629000",NA,"463788000","0.6267",NA,NA,"Level Percent Closed","-1523269003","1521476900","-10462932","-9130840",NA,"3917310000","265808686","0.0651","270708108",NA,"35711000","0.129","21746150",NA,NA,NA,"0.06696",NA,"24.0","0.0375","0.1101","558262944","0.084",NA,NA,"Plan covers teachers","6644003000",NA
"1027","2014","Minnesota Teachers Retirement Association","Minnesota","0.186","Entry Age Normal","0.7413","18181932000","20293684479","24528506000","24901612000","492731000","0.60743",NA,NA,"Level Percent Closed","-1581766643","1573762900","-12566217","-9429749",NA,"4056482000","294632331","0.075","299299837",NA,"35966000","0.1165","22647824",NA,NA,NA,"0.0841",NA,"23.0","0.0375","0.1045","616579992","0.087",NA,NA,"Plan covers teachers","6346574000",NA
